Year,Town,Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2023,Franklin,790,27,1,19,0,47,5.95
2023,Glastonbury,14481,604,57,95,2,758,5.23
2023,Goshen,1708,1,1,4,0,6,0.35
2023,Granby,4448,85,2,43,3,133,2.99
2023,Greenwich,25677,940,475,10,47,1472,5.73
2023,Griswold,5027,222,60,119,0,401,7.98
2023,Groton,18154,3727,97,313,10,4147,22.84
2023,Guilford,9693,177,10,27,1,215,2.22
2023,Haddam,3540,22,1,23,0,46,1.3
2023,Hamden,25984,1048,838,439,117,2442,9.4
2023,Hampton,790,0,1,10,0,11,1.39
2023,Hartford,53259,10755,8991,1419,0,21165,39.74
2023,Hartland,843,2,0,3,0,5,0.59
2023,Harwinton,2313,22,6,35,5,68,2.94
2023,Hebron,3618,58,2,48,0,108,2.99
2023,Kent,1687,58,3,3,0,64,3.79
2023,Killingly,7884,467,145,134,0,746,9.46
2023,Killingworth,2601,0,1,18,1,20,0.77
2023,Lebanon,3147,26,6,75,0,107,3.4
2023,Ledyard,6150,32,8,189,6,235,3.82
2023,Lisbon,1728,2,0,52,0,54,3.13
2023,Litchfield,3966,140,4,26,19,189,4.77
2023,Lyme,1220,0,0,3,8,11,0.9
2023,Madison,8060,90,3,8,29,130,1.61
2023,Manchester,26445,1864,981,834,32,3711,14.03
2023,Mansfield,6956,175,124,75,2,376,5.41
2023,Marlborough,2388,24,0,22,0,46,1.93
2023,Meriden,26177,2057,1466,932,11,4466,17.06
2023,Middlebury,3047,77,5,12,20,114,3.74
2023,Middlefield,1882,30,5,21,1,57,3.03
2023,Middletown,21671,3048,1137,458,25,4668,21.54
2023,Milford,23749,728,315,140,74,1257,5.29
2023,Monroe,6918,35,3,38,8,84,1.21
2023,Montville,7402,81,49,243,0,373,5.04
2023,Morris,1253,20,0,5,0,25,2
2023,Naugatuck,13239,493,296,313,0,1102,8.32
2023,New Britain,31510,3041,1689,1106,89,5925,18.8
2023,New Canaan,7502,255,33,7,0,295,3.93
2023,New Fairfield,5635,0,7,49,16,72,1.28
2023,New Hartford,2968,12,6,38,9,65,2.19
2023,New Haven,57525,9652,7632,822,354,18460,32.09
2023,Newington,13219,531,121,446,36,1134,8.58
2023,New London,12119,1648,491,470,175,2784,22.97
2023,New Milford,11928,319,36,135,29,519,4.35
2023,Newtown,10322,134,7,77,65,283,2.74
2023,Norfolk,932,21,2,5,0,28,3
2023,North Branford,5633,62,12,45,0,119,2.11
2023,North Canaan,1582,111,0,9,0,120,7.59
2023,North Haven,9981,393,50,81,23,547,5.48
2023,North Stonington,2226,0,2,18,8,28,1.26
2023,Norwalk,38152,2434,1578,346,732,5090,13.34
2023,Norwich,18769,2350,813,518,0,3681,19.61
2023,Old Lyme,4988,64,2,11,3,80,1.6
2023,Old Saybrook,5870,52,14,21,73,160,2.73
2023,Orange,5480,46,10,10,6,72,1.31
2023,Oxford,5022,36,4,25,0,65,1.29
2023,Plainfield,6264,429,188,164,4,785,12.53
2023,Plainville,8045,205,56,275,22,558,6.94
2023,Plymouth,5151,178,22,169,0,369,7.16
2023,Pomfret,1686,32,2,11,0,45,2.67
2023,Portland,4128,120,85,55,0,260,6.3
2023,Preston,2049,40,6,35,0,81,3.95
2023,Prospect,3762,0,4,43,55,102,2.71
2023,Putnam,4292,536,71,59,0,666,15.52
2023,Redding,3664,0,3,13,0,16,0.44
2023,Ridgefield,9506,175,6,21,79,281,2.96
2023,Rocky Hill,9319,235,66,135,0,436,4.68
2023,Roxbury,1163,19,0,4,0,23,1.98
2023,Salem,1719,0,2,24,0,26,1.51
2023,Salisbury,2519,24,1,1,14,40,1.59
2023,Scotland,650,0,0,23,0,23,3.54
2023,Seymour,7112,262,33,98,0,393,5.53
2023,Sharon,1724,32,1,2,0,35,2.03
2023,Shelton,17174,322,61,110,82,575,3.35
2023,Sherman,1834,0,1,5,0,6,0.33
2023,Simsbury,10057,289,63,92,28,472,4.69
2023,Somers,3622,146,7,33,0,186,5.14
2023,Southbury,9270,90,7,27,0,124,1.34
2023,Southington,18145,499,67,312,56,934,5.15
2023,South Windsor,10804,443,51,171,12,677,6.27
2023,Sprague,1268,20,10,23,1,54,4.26
2023,Stafford,5237,257,22,105,0,384,7.33
2023,Stamford,56953,4262,2062,344,1268,7936,13.93
2023,Sterling,1479,0,7,22,0,29,1.96
2023,Stonington,9447,484,21,66,14,585,6.19
2023,Stratford,21643,524,424,326,33,1307,6.04
2023,Suffield,5879,296,5,52,4,357,6.07
2023,Thomaston,3340,104,7,96,0,207,6.2
2023,Thompson,4143,151,15,36,0,202,4.88
2023,Tolland,5630,127,9,97,3,236,4.19
2023,Torrington,17040,972,334,526,17,1849,10.85
2023,Trumbull,13159,315,15,71,284,685,5.21
2023,Union,377,0,0,5,0,5,1.33
2023,Vernon,14761,1509,482,326,12,2329,15.78
2023,Voluntown,1135,20,2,21,0,43,3.79
2023,Wallingford,18938,354,150,261,35,800,4.22
2023,Warren,790,0,0,1,0,1,0.13
2023,Washington,2056,17,1,3,28,49,2.38
2023,Waterbury,48392,5385,3326,1542,39,10292,21.27
2023,Waterford,8873,213,39,220,0,472,5.32
2023,Watertown,9137,205,33,216,0,454,4.97
2023,Westbrook,3976,140,7,25,29,201,5.06
2023,West Hartford,27240,695,857,286,245,2083,7.65
2023,West Haven,22735,1024,2172,351,0,3547,15.6
2023,Weston,3671,0,1,5,0,6,0.16
2023,Westport,10567,265,57,1,75,398,3.77
2023,Wethersfield,11809,705,110,251,0,1066,9.03
2023,Willington,2685,184,7,33,0,224,8.34
2023,Wilton,6567,158,12,12,51,233,3.55
2023,Winchester,5405,269,147,96,0,512,9.47
2023,Windham,9663,1776,591,306,0,2673,27.66
2023,Windsor,12038,154,249,420,26,849,7.05
2023,Windsor Locks,5815,297,169,221,0,687,11.81
2023,Wolcott,6408,313,7,164,0,484,7.55
2023,Woodbridge,3476,30,6,4,0,40,1.15
2023,Woodbury,4584,60,4,30,0,94,2.05
2023,Woodstock,3669,24,1,23,0,48,1.31
