Year,Town,Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2022,Old Saybrook,5602,52,15,21,73,161,2.87
2022,Orange,5345,46,10,10,6,72,1.35
2022,Oxford,4746,36,3,24,0,63,1.33
2022,Plainville,8063,205,61,262,22,550,6.82
2022,Plymouth,5109,178,19,164,0,361,7.07
2022,Pomfret,1684,32,2,11,0,45,2.67
2022,Portland,4077,185,87,54,0,326,8
2022,Preston,2019,40,6,36,0,82,4.06
2022,Prospect,3474,0,4,40,55,99,2.85
2022,Redding,3811,0,3,14,0,17,0.45
2022,Ridgefield,9420,175,6,23,79,283,3
2022,Rocky Hill,8843,235,63,138,0,436,4.93
2022,Roxbury,1167,19,0,4,0,23,1.97
2022,Salem,1635,0,2,27,0,29,1.77
2022,Salisbury,2593,24,1,1,14,40,1.54
2022,Scotland,680,0,1,25,0,26,3.82
2022,Seymour,6968,262,31,94,0,387,5.55
2022,Sharon,1775,32,1,2,0,35,1.97
2022,Shelton,16146,322,42,104,82,550,3.41
2022,Sherman,1831,0,1,5,0,6,0.33
2022,Simsbury,9123,289,60,86,28,463,5.08
2022,Somers,3479,146,7,31,0,184,5.29
2022,South Windsor,10243,443,53,155,12,663,6.47
2022,Southbury,9091,90,6,27,0,123,1.35
2022,Southington,17447,499,61,299,53,912,5.23
2022,Sprague,1248,20,10,21,1,52,4.17
2022,Stafford,5124,257,18,103,0,378,7.38
2022,Sterling,1511,0,6,20,0,26,1.72
2022,Stonington,9467,484,23,66,2,575,6.07
2022,Stratford,21091,524,436,310,33,1303,6.18
2022,Suffield,5469,296,6,45,6,353,6.45
2022,Thomaston,3276,104,6,95,0,205,6.26
2022,Thompson,4171,151,15,36,0,202,4.84
2022,Tolland,5451,127,12,94,3,236,4.33
2022,Trumbull,13157,315,17,68,316,716,5.44
2022,Union,388,0,0,6,0,6,1.55
2022,Voluntown,1127,20,1,19,0,40,3.55
2022,Wallingford,18945,354,149,264,35,802,4.23
2022,Warren,811,0,0,0,0,0,0
2022,Washington,2124,17,2,2,28,49,2.31
2022,Waterford,8634,213,37,224,0,474,5.49
2022,Watertown,9096,205,33,200,0,438,4.82
2022,West Hartford,26396,643,798,276,245,1962,7.43
2022,Westbrook,3937,140,6,25,29,200,5.08
2022,Weston,3674,0,1,5,0,6,0.16
2022,Westport,10399,265,54,2,72,393,3.78
2022,Wethersfield,11677,705,102,243,0,1050,8.99
2022,Willington,2637,160,7,34,0,201,7.62
2022,Wilton,6475,158,10,12,51,231,3.57
2022,Winchester,5613,269,157,83,0,509,9.07
2022,Windsor,11767,154,261,401,26,842,7.16
2022,Wolcott,6276,313,11,157,0,481,7.66
2022,Woodbridge,3478,30,6,4,0,40,1.15
